,title_ru,t_date,sum_amount
140,Москва,2020-08-01,28116.22
141,Москва,2020-08-02,30212.45
142,Санкт-Петербург,2020-08-02,9745.11
143,Санкт-Петербург,2020-08-03,10506.13
144,Москва,2020-08-03,32450.38
145,Москва,2020-08-04,38107.76
146,Санкт-Петербург,2020-08-04,8827.86
147,Санкт-Петербург,2020-08-05,11510.38
148,Москва,2020-08-05,43819.37
149,Санкт-Петербург,2020-08-06,17864.73
150,Москва,2020-08-06,30607.8
151,Санкт-Петербург,2020-08-07,16920.14
152,Москва,2020-08-07,27110.86
153,Санкт-Петербург,2020-08-08,11760.34
154,Москва,2020-08-08,27113.85
155,Санкт-Петербург,2020-08-09,14082.78
156,Москва,2020-08-09,27100.37
157,Москва,2020-08-10,42002.77
158,Санкт-Петербург,2020-08-10,12627.5
159,Санкт-Петербург,2020-08-11,18187.04
160,Москва,2020-08-11,28523.31
161,Москва,2020-08-12,24815.39
162,Санкт-Петербург,2020-08-12,35104.69
163,Москва,2020-08-13,39829.58
164,Санкт-Петербург,2020-08-13,33721.28
165,Санкт-Петербург,2020-08-14,19377.3
166,Москва,2020-08-14,64144.03
167,Санкт-Петербург,2020-08-15,23723.48
168,Москва,2020-08-15,25217.95
169,Санкт-Петербург,2020-08-16,25180.54
170,Москва,2020-08-16,32579.97
171,Санкт-Петербург,2020-08-17,35141.48
172,Москва,2020-08-17,60096.32
173,Санкт-Петербург,2020-08-18,22862.6
174,Москва,2020-08-18,62006.02
175,Санкт-Петербург,2020-08-19,35811.57
176,Москва,2020-08-19,42813.9
177,Санкт-Петербург,2020-08-20,34503.28
178,Москва,2020-08-20,55453.57
179,Санкт-Петербург,2020-08-21,38534.45
180,Москва,2020-08-21,49726.16
181,Санкт-Петербург,2020-08-22,31632.63
182,Москва,2020-08-22,48886.44
183,Санкт-Петербург,2020-08-23,32989.27
184,Москва,2020-08-23,47558.6
185,Санкт-Петербург,2020-08-24,39630.01
186,Москва,2020-08-24,55669.62
187,Санкт-Петербург,2020-08-25,38984.13
188,Москва,2020-08-25,41415.09
189,Санкт-Петербург,2020-08-26,38940.39
