,city,created_at_format,total_debt_total
156,Москва,2021-02-11,1440.0
157,Тольятти,2021-02-11,1108.8
158,Москва,2021-02-12,1432.0
159,Тольятти,2021-02-12,1108.8
160,Москва,2021-02-13,1440.0
161,Тольятти,2021-02-13,1108.8
162,Москва,2021-02-14,1440.0
163,Тольятти,2021-02-14,1108.8
164,Москва,2021-02-15,2497.0
165,Тольятти,2021-02-15,1109.57
166,Москва,2021-02-16,1444.0
167,Тольятти,2021-02-16,1108.8
168,Москва,2021-02-17,2884.0
169,Санкт-Петербург,2021-02-17,946.37
170,Тольятти,2021-02-17,1108.8
171,Москва,2021-02-18,1440.0
172,Тольятти,2021-02-18,1108.8
173,Тольятти,2021-02-19,2319.24
174,Москва,2021-02-20,1440.0
175,Тольятти,2021-02-20,3528.0
176,Москва,2021-02-21,1440.0
177,Тольятти,2021-02-21,3528.0
178,Москва,2021-02-22,1440.0
179,Санкт-Петербург,2021-02-22,1214.49
180,Тольятти,2021-02-22,3528.0
181,Москва,2021-02-23,1440.0
182,Тольятти,2021-02-23,3528.0
183,Москва,2021-02-24,1345.0
184,Тольятти,2021-02-24,2318.4
185,Тольятти,2021-02-25,2318.4
186,Москва,2021-02-26,1440.0
187,Тольятти,2021-02-26,1108.8
188,Москва,2021-02-27,1440.0
189,Тольятти,2021-02-27,1108.8
190,Москва,2021-02-28,1440.0
191,Тольятти,2021-02-28,1108.8
192,Москва,2021-03-01,2880.0
193,Тольятти,2021-03-01,1108.8
194,Москва,2021-03-02,1440.0
195,Тольятти,2021-03-02,1108.8
196,Москва,2021-03-03,4252.0
197,Тольятти,2021-03-03,1108.8
198,Москва,2021-03-04,2880.0
199,Тольятти,2021-03-04,833.14
200,Москва,2021-03-05,1440.0
201,Тольятти,2021-03-05,735.0
202,Москва,2021-03-06,1440.0
203,Москва,2021-03-07,1440.0
204,Москва,2021-03-08,1290.0
205,Тольятти,2021-03-08,1108.8
206,Санкт-Петербург,2021-03-09,1388.75
207,Тольятти,2021-03-09,2318.4
208,Тольятти,2021-03-10,2318.4
209,Тольятти,2021-03-11,3495.66
210,Тольятти,2021-03-12,2708.16
211,Тольятти,2021-03-13,1209.6
212,Тольятти,2021-03-14,1209.6
213,Тольятти,2021-03-15,2318.4
214,Тольятти,2021-03-16,2318.4
215,Тольятти,2021-03-17,2318.4
216,Москва,2021-03-18,1440.0
217,Тольятти,2021-03-18,2196.6
218,Москва,2021-03-19,1440.0
219,Тольятти,2021-03-19,1108.8
220,Тольятти,2021-03-20,953.26
221,Москва,2021-03-22,1440.0
222,Москва,2021-03-23,1440.0
223,Москва,2021-03-25,1440.0
224,Москва,2021-03-26,1440.0
225,Москва,2021-03-27,1440.0
226,Тольятти,2021-03-27,1209.6
227,Москва,2021-03-28,2880.0
228,Москва,2021-03-29,2966.0
229,Тольятти,2021-03-29,1209.6
230,Санкт-Петербург,2021-03-30,3217.68
231,Тольятти,2021-03-31,1415.4
232,Тольятти,2021-04-02,1310.4
233,Москва,2021-04-03,1440.0
234,Тольятти,2021-04-03,1310.4
235,Москва,2021-04-04,1440.0
236,Тольятти,2021-04-04,2520.0
237,Москва,2021-04-05,1440.0
238,Тольятти,2021-04-05,2620.8
239,Москва,2021-04-06,1440.0
240,Тольятти,2021-04-06,3775.8
241,Москва,2021-04-07,4284.0
242,Тольятти,2021-04-07,1310.4
243,Москва,2021-04-09,12069.0
244,Самара,2021-04-09,2744.85
245,Тольятти,2021-04-09,9473.66
246,Москва,2021-04-10,2892.0
247,Тольятти,2021-04-10,3960.32
248,Тольятти,2021-04-11,1310.4
249,Москва,2021-04-12,5241.6
250,Тольятти,2021-04-12,1209.6
251,Москва,2021-04-13,1444.0
252,Тольятти,2021-04-13,1310.4
253,Москва,2021-04-14,11199.0
254,Тольятти,2021-04-14,1310.4
255,Москва,2021-04-17,2880.0
256,Москва,2021-04-18,2880.0
257,Москва,2021-04-19,2880.0
258,Москва,2021-04-20,1440.0
259,Москва,2021-04-21,1440.0
260,Москва,2021-04-22,1440.0
261,Тольятти,2021-04-22,1209.6
262,Москва,2021-04-23,3030.0
263,Тольятти,2021-04-23,1209.6
264,Москва,2021-04-24,2880.0
265,Тольятти,2021-04-24,1209.6
266,Москва,2021-04-25,1440.0
267,Тольятти,2021-04-25,2419.2
268,Москва,2021-04-26,1440.0
269,Тольятти,2021-04-26,2420.04
270,Москва,2021-04-27,1327.0
271,Тольятти,2021-04-27,2419.2
272,Москва,2021-04-29,1440.0
273,Москва,2021-05-01,1440.0
274,Москва,2021-05-02,1440.0
275,Москва,2021-05-03,1440.0
276,Самара,2021-05-03,1252.8
277,Москва,2021-05-04,2880.0
278,Самара,2021-05-04,1176.24
279,Москва,2021-05-05,582.0
280,Самара,2021-05-07,1252.8
281,Самара,2021-05-12,1240.62
282,Санкт-Петербург,2021-05-12,1454.4
283,Москва,2021-05-13,1440.0
284,Москва,2021-05-14,1441.0
285,Москва,2021-05-15,2880.0
286,Москва,2021-05-16,2880.0
287,Москва,2021-05-17,1440.0
288,Москва,2021-05-18,1440.0
289,Москва,2021-05-19,2880.0
290,Москва,2021-05-20,1440.0
291,Тольятти,2021-05-20,1008.0
292,Москва,2021-05-21,2697.0
293,Тольятти,2021-05-21,1008.0
294,Москва,2021-05-22,1440.0
295,Тольятти,2021-05-22,1008.0
296,Тольятти,2021-05-23,1008.0
297,Москва,2021-05-24,1440.0
298,Тольятти,2021-05-24,1008.0
299,Тольятти,2021-05-25,1008.0
300,Москва,2021-05-26,2880.0
301,Тольятти,2021-05-26,1136.8
302,Москва,2021-05-27,2880.0
303,Москва,2021-05-28,2882.0
304,Санкт-Петербург,2021-05-28,1454.4
305,Москва,2021-05-29,4320.0
306,Санкт-Петербург,2021-05-29,1454.4
307,Москва,2021-05-30,2880.0
