,city,created_at_format,total_debt_total
137,Санкт-Петербург,2020-10-18,5824.67
138,Москва,2020-10-19,7200.0
139,Санкт-Петербург,2020-10-19,2703.77
140,Москва,2020-10-20,2911.0
141,Санкт-Петербург,2020-10-20,1465.87
142,Москва,2020-10-21,4322.0
143,Санкт-Петербург,2020-10-21,2209.18
144,Москва,2020-10-22,6641.6
145,Санкт-Петербург,2020-10-22,1398.94
146,Москва,2020-10-23,6600.36
147,Санкт-Петербург,2020-10-23,1454.4
148,Москва,2020-10-24,8646.0
149,Санкт-Петербург,2020-10-24,4363.2
150,Москва,2020-10-25,5760.0
151,Санкт-Петербург,2020-10-25,4765.61
152,Москва,2020-10-26,5760.0
153,Санкт-Петербург,2020-10-26,2908.8
154,Москва,2020-10-27,14406.0
155,Санкт-Петербург,2020-10-27,3622.17
156,Москва,2020-10-28,8652.0
157,Санкт-Петербург,2020-10-28,5115.6
158,Москва,2020-10-29,7982.0
159,Санкт-Петербург,2020-10-29,2915.87
160,Москва,2020-10-30,4311.0
161,Санкт-Петербург,2020-10-30,13.49
162,Москва,2020-10-31,16113.8
163,Санкт-Петербург,2020-10-31,3631.91
164,Москва,2020-11-01,17264.0
165,Санкт-Петербург,2020-11-01,1454.4
166,Москва,2020-11-02,11151.0
167,Санкт-Петербург,2020-11-02,2624.46
168,Тольятти,2020-11-02,1310.4
169,Москва,2020-11-03,14537.0
170,Санкт-Петербург,2020-11-03,598.93
171,Москва,2020-11-04,11507.0
172,Санкт-Петербург,2020-11-04,4019.27
173,Москва,2020-11-05,10299.8
174,Санкт-Петербург,2020-11-05,2908.8
175,Москва,2020-11-06,9903.8
176,Санкт-Петербург,2020-11-06,2908.8
177,Москва,2020-11-07,8637.0
178,Санкт-Петербург,2020-11-07,2912.84
179,Тольятти,2020-11-07,1209.6
180,Москва,2020-11-08,12436.6
181,Санкт-Петербург,2020-11-08,4921.92
182,Тольятти,2020-11-08,1209.6
183,Москва,2020-11-09,9447.6
184,Санкт-Петербург,2020-11-09,5913.55
185,Москва,2020-11-10,24065.42
186,Самара,2020-11-10,1354.5
187,Санкт-Петербург,2020-11-10,14872.65
188,Москва,2020-11-11,23090.18
189,Санкт-Петербург,2020-11-11,9732.08
190,Тольятти,2020-11-11,1186.92
191,Москва,2020-11-12,22106.6
192,Санкт-Петербург,2020-11-12,4363.2
193,Тольятти,2020-11-12,9.6
194,Москва,2020-11-13,18100.6
195,Санкт-Петербург,2020-11-13,1332.19
196,Москва,2020-11-14,18209.88
197,Санкт-Петербург,2020-11-14,4014.21
198,Тольятти,2020-11-14,3541.92
199,Москва,2020-11-15,25923.0
200,Санкт-Петербург,2020-11-15,2916.88
201,Москва,2020-11-16,17190.0
202,Санкт-Петербург,2020-11-16,1454.4
203,Тольятти,2020-11-16,1108.8
204,Москва,2020-11-17,10081.0
205,Санкт-Петербург,2020-11-17,1454.4
206,Москва,2020-11-18,7225.0
207,Санкт-Петербург,2020-11-18,4013.2
208,Москва,2020-11-19,9947.0
209,Санкт-Петербург,2020-11-19,2901.73
210,Тольятти,2020-11-19,2419.2
211,Москва,2020-11-20,5862.0
212,Санкт-Петербург,2020-11-20,1636.93
213,Тольятти,2020-11-20,1286.8
214,Москва,2020-11-21,11524.0
215,Санкт-Петербург,2020-11-21,2763.65
216,Тольятти,2020-11-21,1209.6
217,Москва,2020-11-22,9960.0
218,Санкт-Петербург,2020-11-22,5819.62
219,Тольятти,2020-11-22,1209.6
220,Москва,2020-11-23,3811.0
221,Санкт-Петербург,2020-11-23,1457.43
222,Тольятти,2020-11-23,1210.44
223,Москва,2020-11-24,4959.0
224,Санкт-Петербург,2020-11-24,1457.43
225,Тольятти,2020-11-24,344.4
226,Москва,2020-11-25,6683.6
227,Санкт-Петербург,2020-11-25,4358.15
228,Тольятти,2020-11-25,9.6
229,Москва,2020-11-26,12739.4
230,Санкт-Петербург,2020-11-26,4367.24
231,Тольятти,2020-11-26,2419.2
232,Москва,2020-11-27,10070.0
233,Санкт-Петербург,2020-11-27,2558.8
234,Тольятти,2020-11-27,1665.72
235,Москва,2020-11-28,8631.0
236,Санкт-Петербург,2020-11-28,1112.84
237,Тольятти,2020-11-28,1209.6
238,Москва,2020-11-29,5747.0
239,Санкт-Петербург,2020-11-29,6965.66
240,Тольятти,2020-11-29,2703.76
241,Москва,2020-11-30,5760.0
242,Санкт-Петербург,2020-11-30,6930.8
243,Тольятти,2020-11-30,3830.4
244,Москва,2020-12-01,5241.6
245,Санкт-Петербург,2020-12-01,4106.66
246,Тольятти,2020-12-01,2535.48
247,Москва,2020-12-02,11296.4
248,Санкт-Петербург,2020-12-02,4363.2
249,Тольятти,2020-12-02,3692.29
250,Москва,2020-12-03,9554.6
251,Санкт-Петербург,2020-12-03,4366.23
252,Москва,2020-12-04,4323.0
253,Санкт-Петербург,2020-12-04,2719.39
254,Тольятти,2020-12-04,1209.6
255,Москва,2020-12-05,17076.32
256,Санкт-Петербург,2020-12-05,4366.23
257,Тольятти,2020-12-05,2419.2
258,Москва,2020-12-06,7202.0
259,Санкт-Петербург,2020-12-06,2911.83
260,Тольятти,2020-12-06,2520.0
261,Москва,2020-12-07,4040.0
262,Санкт-Петербург,2020-12-07,4025.31
263,Тольятти,2020-12-07,2520.0
264,Москва,2020-12-08,5241.6
265,Санкт-Петербург,2020-12-08,1584.69
266,Тольятти,2020-12-08,3733.8
267,Москва,2020-12-09,8631.0
268,Санкт-Петербург,2020-12-09,1475.29
269,Тольятти,2020-12-09,1209.6
270,Москва,2020-12-10,4320.0
271,Санкт-Петербург,2020-12-10,4014.21
272,Москва,2020-12-11,5556.6
273,Санкт-Петербург,2020-12-11,2908.8
274,Тольятти,2020-12-11,2419.2
275,Москва,2020-12-12,7200.0
276,Санкт-Петербург,2020-12-12,3151.13
277,Тольятти,2020-12-12,2430.51
278,Москва,2020-12-13,10992.6
279,Санкт-Петербург,2020-12-13,4220.4
280,Тольятти,2020-12-13,6250.44
281,Москва,2020-12-14,7892.28
282,Санкт-Петербург,2020-12-14,3408.14
283,Тольятти,2020-12-14,4877.04
284,Москва,2020-12-15,5764.0
285,Санкт-Петербург,2020-12-15,754.4
286,Тольятти,2020-12-15,7150.22
287,Москва,2020-12-16,11039.0
288,Санкт-Петербург,2020-12-16,2908.8
289,Тольятти,2020-12-16,1311.31
290,Москва,2020-12-17,7193.0
291,Санкт-Петербург,2020-12-17,1454.4
292,Тольятти,2020-12-17,1310.4
293,Москва,2020-12-18,5738.0
294,Санкт-Петербург,2020-12-18,1454.4
295,Тольятти,2020-12-18,9.6
296,Москва,2020-12-19,4312.0
297,Санкт-Петербург,2020-12-19,3663.2
298,Москва,2020-12-20,15813.0
299,Санкт-Петербург,2020-12-20,754.4
300,Тольятти,2020-12-20,1209.6
301,Москва,2020-12-21,10920.8
302,Санкт-Петербург,2020-12-21,1526.02
303,Тольятти,2020-12-21,1310.4
304,Москва,2020-12-22,2880.0
305,Санкт-Петербург,2020-12-22,1454.4
306,Тольятти,2020-12-22,2419.2
307,Москва,2020-12-23,10085.0
