,reg_t_title_ru,use_of_the_mobile_app,COUNT(DISTINCT users_transactions_car_id)
183,Москва,2020-12-19,73
184,Москва,2020-12-20,86
185,Москва,2020-12-21,87
186,Москва,2020-12-22,85
187,Москва,2020-12-23,83
188,Москва,2020-12-24,88
189,Москва,2020-12-25,89
190,Москва,2020-12-26,89
191,Москва,2020-12-27,90
192,Москва,2020-12-28,90
193,Москва,2020-12-29,82
194,Москва,2020-12-30,78
195,Москва,2020-12-31,76
196,Москва,2021-01-01,70
197,Москва,2021-01-02,59
198,Москва,2021-01-03,70
199,Москва,2021-01-04,66
200,Москва,2021-01-05,69
201,Москва,2021-01-06,66
202,Москва,2021-01-07,62
203,Москва,2021-01-08,64
204,Москва,2021-01-09,66
205,Москва,2021-01-10,65
206,Москва,2021-01-11,74
207,Москва,2021-01-12,58
208,Москва,2021-01-13,72
209,Москва,2021-01-14,82
210,Москва,2021-01-15,79
211,Москва,2021-01-16,81
212,Москва,2021-01-17,83
213,Москва,2021-01-18,88
214,Москва,2021-01-19,84
215,Москва,2021-01-20,90
216,Москва,2021-01-21,90
217,Москва,2021-01-22,92
218,Москва,2021-01-23,91
219,Москва,2021-01-24,93
220,Москва,2021-01-25,90
221,Москва,2021-01-26,90
222,Москва,2021-01-27,91
223,Москва,2021-01-28,91
224,Москва,2021-01-29,95
225,Москва,2021-01-30,94
226,Москва,2021-01-31,98
227,Москва,2021-02-01,97
228,Москва,2021-02-02,94
229,Москва,2021-02-03,95
230,Москва,2021-02-04,96
231,Москва,2021-02-05,96
232,Москва,2021-02-06,94
233,Москва,2021-02-07,94
234,Москва,2021-02-08,97
235,Москва,2021-02-09,95
236,Москва,2021-02-10,98
237,Москва,2021-02-11,95
238,Москва,2021-02-12,97
239,Москва,2021-02-13,92
240,Москва,2021-02-14,95
241,Москва,2021-02-15,95
242,Москва,2021-02-16,92
243,Москва,2021-02-17,92
244,Москва,2021-02-18,98
245,Москва,2021-02-19,94
246,Москва,2021-02-20,93
247,Москва,2021-02-21,94
248,Москва,2021-02-22,94
249,Москва,2021-02-23,95
250,Москва,2021-02-24,96
251,Москва,2021-02-25,93
252,Москва,2021-02-26,96
253,Москва,2021-02-27,89
254,Москва,2021-02-28,92
255,Москва,2021-03-01,97
256,Москва,2021-03-02,93
257,Москва,2021-03-03,99
258,Москва,2021-03-04,100
259,Москва,2021-03-05,102
260,Москва,2021-03-06,94
261,Москва,2021-03-07,96
262,Москва,2021-03-08,97
263,Москва,2021-03-09,99
264,Москва,2021-03-10,96
265,Москва,2021-03-11,96
266,Москва,2021-03-12,100
267,Москва,2021-03-13,98
268,Москва,2021-03-14,99
269,Москва,2021-03-15,99
270,Москва,2021-03-16,99
271,Москва,2021-03-17,101
272,Москва,2021-03-18,104
273,Москва,2021-03-19,101
274,Москва,2021-03-20,102
275,Москва,2021-03-21,102
276,Москва,2021-03-22,102
277,Москва,2021-03-23,97
278,Москва,2021-03-24,96
279,Москва,2021-03-25,95
280,Москва,2021-03-26,98
281,Москва,2021-03-27,97
282,Москва,2021-03-28,100
283,Москва,2021-03-29,101
284,Москва,2021-03-30,98
285,Москва,2021-03-31,96
286,Москва,2021-04-01,102
287,Москва,2021-04-02,102
288,Москва,2021-04-03,98
289,Москва,2021-04-04,101
290,Москва,2021-04-05,100
291,Москва,2021-04-06,97
292,Москва,2021-04-07,102
293,Москва,2021-04-08,1
294,Москва,2021-04-09,98
295,Москва,2021-04-10,95
296,Москва,2021-04-11,94
297,Москва,2021-04-12,93
298,Москва,2021-04-13,91
299,Москва,2021-04-14,91
300,Москва,2021-04-15,97
301,Москва,2021-04-16,99
302,Москва,2021-04-17,94
303,Москва,2021-04-18,98
304,Москва,2021-04-19,99
305,Москва,2021-04-20,97
306,Москва,2021-04-21,95
307,Москва,2021-04-22,97
308,Москва,2021-04-23,102
